Metric,Value
avg_template_accuracy,1.0
std_template_accuracy,0
min_template_accuracy,1.0
max_template_accuracy,1.0
avg_execution_success_rate,1.0
avg_answer_correct,0
avg_answer_partial,4
avg_answer_incorrect,12
avg_latency,19.341
min_latency,10.923
max_latency,38.142
std_latency,0
overall_score,0.6

Category,Total,TemplateAccuracy,ExecSuccessRate,AvgTime
aggregation,4,1.0,1.0,17.592
extreme-values,1,1.0,1.0,15.667
filtering,2,1.0,1.0,11.229
location-based,3,1.0,1.0,17.982
multi-year-comparison,1,1.0,1.0,19.729
nested-aggregation,1,1.0,1.0,32.712
overview,3,1.0,1.0,24.31
subsampling,1,1.0,1.0,21.649

ErrorCategory,Count
Unknown failure,12
